choreo v2025.0.2
  built with rustc 1.84.0 (9fc6b4312 2025-01-07)
  on x86_64-pc-windows-msvc for x86_64-pc-windows-msvc
  at Wed, 22 Jan 2025 18:36:42 +0000
  with features: ["CUSTOM_PROTOCOL"]
  in profile release
  in ci
  from commit ef22708 on branch unknown
INFO | 08:42:04.077| gui/src/tauri.rs:153            | Starting Choreo 2025.0.2 x86_64-pc-windows-msvc
DEBUG| 08:42:04.971| core/src/file_management/mod.rs:159| Setting deploy path to 
INFO | 08:42:05.101| index-D8MaCJ-U.js@BAe           | Attempting to open: C:\\Users\\robpl\\OneDrive\\Desktop\\Robert\\FRC\\2025\\Example Paths
DEBUG| 08:42:05.103| core/src/file_management/mod.rs:159| Setting deploy path to C:\\Users\\robpl\\OneDrive\\Desktop\\Robert\\FRC\\2025
INFO | 08:42:05.104| core/src/file_management/mod.rs:308| Opening project Example Paths.chor at C:\Users\robpl\OneDrive\Desktop\Robert\FRC\2025
DEBUG| 08:42:05.105| core/src/file_management/mod.rs:341| Found 8 trajectory files in C:\Users\robpl\OneDrive\Desktop\Robert\FRC\2025
DEBUG| 08:42:05.516| core/src/file_management/mod.rs:173| Writing path 4xL3 2 Alg to C:\Users\robpl\OneDrive\Desktop\Robert\FRC\2025\4xL3 2 Alg.traj
DEBUG| 08:42:05.527| core/src/file_management/mod.rs:173| Writing path 5xL3 1 Alg to C:\Users\robpl\OneDrive\Desktop\Robert\FRC\2025\5xL3 1 Alg.traj
DEBUG| 08:42:05.529| core/src/file_management/mod.rs:173| Writing path 5xL3 2 Alg to C:\Users\robpl\OneDrive\Desktop\Robert\FRC\2025\5xL3 2 Alg.traj
DEBUG| 08:42:05.530| core/src/file_management/mod.rs:173| Writing path 6xL3 Reckless to C:\Users\robpl\OneDrive\Desktop\Robert\FRC\2025\6xL3 Reckless.traj
DEBUG| 08:42:05.532| core/src/file_management/mod.rs:173| Writing path 5xL3 to C:\Users\robpl\OneDrive\Desktop\Robert\FRC\2025\5xL3.traj
DEBUG| 08:42:05.533| core/src/file_management/mod.rs:173| Writing path 6xL3 to C:\Users\robpl\OneDrive\Desktop\Robert\FRC\2025\6xL3.traj
DEBUG| 08:42:05.535| core/src/file_management/mod.rs:173| Writing path 7xL3 Greedy to C:\Users\robpl\OneDrive\Desktop\Robert\FRC\2025\7xL3 Greedy.traj
DEBUG| 08:42:05.541| core/src/file_management/mod.rs:173| Writing path New Path to C:\Users\robpl\OneDrive\Desktop\Robert\FRC\2025\New Path.traj
DEBUG| 08:42:36.667| core/src/file_management/mod.rs:159| Setting deploy path to C:\\FRC\\2025\\2025-Reefscape\\src\\main\\deploy\\choreo
INFO | 08:42:36.668| core/src/file_management/mod.rs:308| Opening project autos.chor at C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo
DEBUG| 08:42:36.669| core/src/file_management/mod.rs:341| Found 16 trajectory files in C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo
DEBUG| 08:42:36.943| core/src/file_management/mod.rs:290| Writing project autos to C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo\autos.chor
DEBUG| 08:42:36.944| core/src/file_management/mod.rs:290| Writing project autos to C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo\autos.chor
DEBUG| 08:42:36.950| core/src/file_management/mod.rs:136| Wrote project to C:\\FRC\\2025\\2025-Reefscape\\src\\main\\deploy\\choreo\\autos.chor
DEBUG| 08:42:36.950| core/src/file_management/mod.rs:173| Writing path ALeftHP to C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo\ALeftHP.traj
DEBUG| 08:42:36.950| core/src/file_management/mod.rs:173| Writing path BLeftHP to C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo\BLeftHP.traj
DEBUG| 08:42:36.956| core/src/file_management/mod.rs:173| Writing path CRightHP to C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo\CRightHP.traj
DEBUG| 08:42:36.957| core/src/file_management/mod.rs:173| Writing path DRightHP to C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo\DRightHP.traj
DEBUG| 08:42:36.957| core/src/file_management/mod.rs:173| Writing path KLeftHP to C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo\KLeftHP.traj
DEBUG| 08:42:36.958| core/src/file_management/mod.rs:173| Writing path LeftHPA to C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo\LeftHPA.traj
DEBUG| 08:42:36.958| core/src/file_management/mod.rs:173| Writing path LeftHPB to C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo\LeftHPB.traj
DEBUG| 08:42:36.960| core/src/file_management/mod.rs:173| Writing path LeftHPK to C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo\LeftHPK.traj
DEBUG| 08:42:36.960| core/src/file_management/mod.rs:173| Writing path LeftHPL to C:\FRC\2025\2025-Reefscape\src\main\deploy\choreo\LeftHPL.traj
